Year,Config,Variable,Value
2020,central,stockpile,159902
2020,central,surplus,67300
2021,central,stockpile,159902
2021,central,surplus,67300
2022,central,stockpile,159902
2022,central,surplus,67300
2023,central,stockpile,159902
2023,central,surplus,67300
2024,central,stockpile,159902
2024,central,surplus,67300
