Age,Forest,Size,Config,Value
33,permanent_exotic,large,central,1246.87343
34,permanent_exotic,large,central,1284.55048
35,permanent_exotic,large,central,1321.435988
36,permanent_exotic,large,central,1357.570401
37,permanent_exotic,large,central,1392.994
38,permanent_exotic,large,central,1427.774999
39,permanent_exotic,large,central,1461.981139
40,permanent_exotic,large,central,1495.718238
41,permanent_exotic,large,central,1529.044097
42,permanent_exotic,large,central,1561.547092
43,permanent_exotic,large,central,1593.284625
44,permanent_exotic,large,central,1624.24354
45,permanent_exotic,large,central,1654.462965
46,permanent_exotic,large,central,1683.972057
47,permanent_exotic,large,central,1712.811181
48,permanent_exotic,large,central,1741.010192
49,permanent_exotic,large,central,1768.595962
50,permanent_exotic,large,central,1795.614462
51,permanent_exotic,large,central,1822.632962
52,permanent_exotic,large,central,1849.651463
53,permanent_exotic,large,central,1876.669963
54,permanent_exotic,large,central,1903.688463
55,permanent_exotic,large,central,1930.706964
56,permanent_exotic,large,central,1957.725464
57,permanent_exotic,large,central,1984.743964
58,permanent_exotic,large,central,2011.762464
59,permanent_exotic,large,central,2038.780965
60,permanent_exotic,large,central,2065.799465
61,permanent_exotic,large,central,2092.817965
62,permanent_exotic,large,central,2119.836466
63,permanent_exotic,large,central,2146.854966
64,permanent_exotic,large,central,2173.873466
65,permanent_exotic,large,central,2200.891966
66,permanent_exotic,large,central,2227.910467
67,permanent_exotic,large,central,2254.928967
68,permanent_exotic,large,central,2281.947467
69,permanent_exotic,large,central,2308.965968
70,permanent_exotic,large,central,2335.984468
1,permanent_exotic,small,central,0.4
2,permanent_exotic,small,central,2.5
3,permanent_exotic,small,central,6.8
4,permanent_exotic,small,central,24.7
5,permanent_exotic,small,central,53.0
6,permanent_exotic,small,central,87.1
7,permanent_exotic,small,central,121.2
8,permanent_exotic,small,central,148.1
9,permanent_exotic,small,central,164.0
10,permanent_exotic,small,central,180.4
11,permanent_exotic,small,central,199.4
12,permanent_exotic,small,central,222.5
13,permanent_exotic,small,central,248.9
14,permanent_exotic,small,central,278.4
15,permanent_exotic,small,central,309.8
16,permanent_exotic,small,central,343.1
17,permanent_exotic,small,central,377.4
18,permanent_exotic,small,central,411.9
19,permanent_exotic,small,central,446.5
20,permanent_exotic,small,central,481.3
21,permanent_exotic,small,central,515.3
22,permanent_exotic,small,central,548.7
23,permanent_exotic,small,central,581.0
24,permanent_exotic,small,central,612.1
25,permanent_exotic,small,central,642.5
26,permanent_exotic,small,central,671.8
27,permanent_exotic,small,central,700.5
28,permanent_exotic,small,central,728.9
29,permanent_exotic,small,central,757.1
30,permanent_exotic,small,central,784.9
31,permanent_exotic,small,central,811.4
32,permanent_exotic,small,central,837.6
33,permanent_exotic,small,central,863.9
34,permanent_exotic,small,central,889.0
35,permanent_exotic,small,central,914.1
36,permanent_exotic,small,central,938.8
37,permanent_exotic,small,central,963.1
38,permanent_exotic,small,central,987.1
39,permanent_exotic,small,central,1010.8
40,permanent_exotic,small,central,1034.5
41,permanent_exotic,small,central,1058.4
42,permanent_exotic,small,central,1081.5
43,permanent_exotic,small,central,1105.1
44,permanent_exotic,small,central,1128.6
45,permanent_exotic,small,central,1152.5
46,permanent_exotic,small,central,1176.2
47,permanent_exotic,small,central,1200.1
48,permanent_exotic,small,central,1224.1
49,permanent_exotic,small,central,1249.1
50,permanent_exotic,small,central,1273.6
51,permanent_exotic,small,central,1298.1
52,permanent_exotic,small,central,1322.6
53,permanent_exotic,small,central,1347.1
54,permanent_exotic,small,central,1371.6
55,permanent_exotic,small,central,1396.1
56,permanent_exotic,small,central,1420.6
57,permanent_exotic,small,central,1445.1
58,permanent_exotic,small,central,1469.6
59,permanent_exotic,small,central,1494.1
60,permanent_exotic,small,central,1518.6
61,permanent_exotic,small,central,1543.1
62,permanent_exotic,small,central,1567.6
63,permanent_exotic,small,central,1592.1
64,permanent_exotic,small,central,1616.6
65,permanent_exotic,small,central,1641.1
66,permanent_exotic,small,central,1665.6
67,permanent_exotic,small,central,1690.1
68,permanent_exotic,small,central,1714.6
69,permanent_exotic,small,central,1739.1
70,permanent_exotic,small,central,1763.6
1,production_exotic,large,central,0.51798984
2,production_exotic,large,central,2.58195045
3,production_exotic,large,central,8.08154758
4,production_exotic,large,central,26.28385572
5,production_exotic,large,central,57.84726725
6,production_exotic,large,central,101.8210935
7,production_exotic,large,central,152.5985056
8,production_exotic,large,central,203.4659702
9,production_exotic,large,central,249.89597
10,production_exotic,large,central,291.8674564
11,production_exotic,large,central,328.7023128
12,production_exotic,large,central,366.3063899
13,production_exotic,large,central,405.1713355
14,production_exotic,large,central,445.6191269
15,production_exotic,large,central,487.3017744
16,production_exotic,large,central,529.9276247
17,production_exotic,large,central,573.3357054
18,production_exotic,large,central,617.0867957
19,production_exotic,large,central,660.8726767
20,production_exotic,large,central,704.2158199
21,production_exotic,large,central,747.3591191
22,production_exotic,large,central,790.4781495
23,production_exotic,large,central,833.7982108
24,production_exotic,large,central,877.0735142
25,production_exotic,large,central,920.0261623
26,production_exotic,large,central,962.7295196
27,production_exotic,large,central,1005.051398
28,production_exotic,large,central,1046.91644
29,production_exotic,large,central,1088.286082
30,production_exotic,large,central,1129.092916
31,production_exotic,large,central,1169.126184
32,production_exotic,large,central,1208.396691
33,production_exotic,large,central,1246.87343
34,production_exotic,large,central,1284.55048
35,production_exotic,large,central,1321.435988
36,production_exotic,large,central,1357.570401
37,production_exotic,large,central,1392.994
38,production_exotic,large,central,1427.774999
39,production_exotic,large,central,1461.981139
40,production_exotic,large,central,1495.718238
41,production_exotic,large,central,1529.044097
42,production_exotic,large,central,1561.547092
43,production_exotic,large,central,1593.284625
44,production_exotic,large,central,1624.24354
45,production_exotic,large,central,1654.462965
46,production_exotic,large,central,1683.972057
47,production_exotic,large,central,1712.811181
48,production_exotic,large,central,1741.010192
49,production_exotic,large,central,1768.595962
50,production_exotic,large,central,1795.614462
1,production_exotic,small,central,0.4
2,production_exotic,small,central,2.5
3,production_exotic,small,central,6.8
4,production_exotic,small,central,24.7
5,production_exotic,small,central,53.0
6,production_exotic,small,central,87.1
7,production_exotic,small,central,121.2
8,production_exotic,small,central,148.1
9,production_exotic,small,central,164.0
10,production_exotic,small,central,180.4
11,production_exotic,small,central,199.4
12,production_exotic,small,central,222.5
13,production_exotic,small,central,248.9
14,production_exotic,small,central,278.4
15,production_exotic,small,central,309.8
16,production_exotic,small,central,343.1
17,production_exotic,small,central,377.4
18,production_exotic,small,central,411.9
19,production_exotic,small,central,446.5
20,production_exotic,small,central,481.3
21,production_exotic,small,central,515.3
22,production_exotic,small,central,548.7
23,production_exotic,small,central,581.0
24,production_exotic,small,central,612.1
25,production_exotic,small,central,642.5
26,production_exotic,small,central,671.8
27,production_exotic,small,central,700.5
28,production_exotic,small,central,728.9
29,production_exotic,small,central,757.1
30,production_exotic,small,central,784.9
31,production_exotic,small,central,811.4
32,production_exotic,small,central,837.6
33,production_exotic,small,central,863.9
34,production_exotic,small,central,889.0
35,production_exotic,small,central,914.1
36,production_exotic,small,central,938.8
37,production_exotic,small,central,963.1
38,production_exotic,small,central,987.1
39,production_exotic,small,central,1010.8
40,production_exotic,small,central,1034.5
41,production_exotic,small,central,1058.4
42,production_exotic,small,central,1081.5
43,production_exotic,small,central,1105.1
44,production_exotic,small,central,1128.6
45,production_exotic,small,central,1152.5
46,production_exotic,small,central,1176.2
47,production_exotic,small,central,1200.1
48,production_exotic,small,central,1224.1
49,production_exotic,small,central,1249.1
50,production_exotic,small,central,1273.6
