Year,Forest,Config,Area
2069,permanent_exotic,low,6000
2070,permanent_exotic,low,6000
2071,permanent_exotic,low,6000
2072,permanent_exotic,low,6000
2073,permanent_exotic,low,6000
2074,permanent_exotic,low,6000
2075,permanent_exotic,low,6000
2076,permanent_exotic,low,6000
2077,permanent_exotic,low,6000
2078,permanent_exotic,low,6000
2079,permanent_exotic,low,6000
2080,permanent_exotic,low,6000
2022,natural_forest,low,6874.162039
2023,natural_forest,low,7786.084667
2024,natural_forest,low,9043.749
2025,natural_forest,low,1769
2026,natural_forest,low,883.2641943
2027,natural_forest,low,769.3612581
2028,natural_forest,low,742.2009733
2029,natural_forest,low,472.15876
2030,natural_forest,low,462.3849033
2031,natural_forest,low,451.8842103
2032,natural_forest,low,436.0013968
2033,natural_forest,low,419.7998918
2034,natural_forest,low,403.3907879
2035,natural_forest,low,386.9359117
2036,natural_forest,low,370.9309919
2037,natural_forest,low,355.5227329
2038,natural_forest,low,340.8391366
2039,natural_forest,low,326.9887149
2040,natural_forest,low,314.0609779
2041,natural_forest,low,302.1279666
2042,natural_forest,low,291.2465695
2043,natural_forest,low,281.4613724
2044,natural_forest,low,272.8078196
2045,natural_forest,low,265.315513
2046,natural_forest,low,259.0115208
2047,natural_forest,low,253.9236148
2048,natural_forest,low,250.0833881
2049,natural_forest,low,247.5292265
2050,natural_forest,low,246.3091118
2051,natural_forest,low,245.0940893
2052,natural_forest,low,243.8841704
2053,natural_forest,low,242.6793657
2054,natural_forest,low,241.4796854
2055,natural_forest,low,240.2851387
2056,natural_forest,low,239.0957344
2057,natural_forest,low,237.9114808
2058,natural_forest,low,236.7323852
2059,natural_forest,low,235.5584547
2060,natural_forest,low,234.3896956
2061,natural_forest,low,233.2261137
2062,natural_forest,low,232.0677142
2063,natural_forest,low,230.9145015
2064,natural_forest,low,229.7664799
2065,natural_forest,low,228.6236527
2066,natural_forest,low,227.486023
2067,natural_forest,low,226.353593
2068,natural_forest,low,225.2263647
2069,natural_forest,low,224.1043394
2070,natural_forest,low,222.987518
2071,natural_forest,low,221.8759007
2072,natural_forest,low,220.7694874
2073,natural_forest,low,219.6682773
2074,natural_forest,low,218.5722693
2075,natural_forest,low,217.4814618
2076,natural_forest,low,216.3958526
2077,natural_forest,low,215.3154391
2078,natural_forest,low,214.2402183
2079,natural_forest,low,213.1701868
2080,natural_forest,low,212.1053405
2022,production_exotic,low,69936.09587
2023,production_exotic,low,58370.285
2024,production_exotic,low,45367.625
2025,production_exotic,low,21930.36913
2026,production_exotic,low,28887.50811
2027,production_exotic,low,29153.91313
2028,production_exotic,low,29351.07683
2029,production_exotic,low,29154.18563
2030,production_exotic,low,28550.68347
2031,production_exotic,low,27518.30762
2032,production_exotic,low,26551.09492
2033,production_exotic,low,25564.47492
2034,production_exotic,low,24565.21281
2035,production_exotic,low,23563.16331
2036,production_exotic,low,22588.51473
2037,production_exotic,low,21650.20088
2038,production_exotic,low,20756.01669
2039,production_exotic,low,19912.57016
2040,production_exotic,low,19125.3122
2041,production_exotic,low,18398.62986
2042,production_exotic,low,17735.98747
2043,production_exotic,low,17140.10016
2044,production_exotic,low,16613.12639
2045,production_exotic,low,16156.86881
2046,production_exotic,low,15772.97578
2047,production_exotic,low,15463.13853
2048,production_exotic,low,15229.28097
2049,production_exotic,low,15073.74067
2050,production_exotic,low,14999.43957
2051,production_exotic,low,14925.44858
2052,production_exotic,low,14851.76838
2053,production_exotic,low,14778.39961
2054,production_exotic,low,14705.3429
2055,production_exotic,low,14632.59882
2056,production_exotic,low,14560.16789
2057,production_exotic,low,14488.05062
2058,production_exotic,low,14416.24746
2059,production_exotic,low,14344.75884
2060,production_exotic,low,14273.58514
2061,production_exotic,low,14202.72671
2062,production_exotic,low,14132.18387
2063,production_exotic,low,14061.95689
2064,production_exotic,low,13992.04604
2065,production_exotic,low,13922.45151
2066,production_exotic,low,13853.17348
2067,production_exotic,low,13784.21211
2068,production_exotic,low,13715.5675
2069,production_exotic,low,13647.23974
2070,production_exotic,low,13579.22887
2071,production_exotic,low,13511.53492
2072,production_exotic,low,13444.15788
2073,production_exotic,low,13377.09769
2074,production_exotic,low,13310.3543
2075,production_exotic,low,13243.9276
2076,production_exotic,low,13177.81746
2077,production_exotic,low,13112.02373
2078,production_exotic,low,13046.54621
2079,production_exotic,low,12981.3847
2080,production_exotic,low,12916.53896
